Mach,CD Rocket
0.01,0.415229071
0.02,0.438887394
0.03,0.433860809
0.04,0.425666737
0.05,0.420245688
0.06,0.417884388
0.07,0.415208954
0.08,0.412488324
0.09,0.409834693
0.1,0.407293828
0.11,0.404881557
0.12,0.402599804
0.13,0.400440469
0.14,0.398403482
0.15,0.396476971
0.16,0.394652591
0.17,0.392922327
0.18,0.391278692
0.19,0.389714876
0.2,0.388224609
0.21,0.386802227
0.22,0.385442606
0.23,0.384141095
0.24,0.382893541
0.25,0.381696129
0.26,0.380675752
0.27,0.379698918
0.28,0.378762857
0.29,0.377864922
0.3,0.377002788
0.31,0.37617425
0.32,0.375377364
0.33,0.374610253
0.34,0.373871308
0.35,0.373158928
0.36,0.372471705
0.37,0.371808339
0.38,0.371167573
0.39,0.370548275
0.4,0.369949397
0.41,0.369369976
0.42,0.368809054
0.43,0.368265806
0.44,0.367739413
0.45,0.367229154
0.46,0.366734287
0.47,0.366254194
0.48,0.365788208
0.49,0.365335782
0.5,0.36489638
0.51,0.364469465
0.52,0.36405453
0.53,0.363651134
0.54,0.363258852
0.55,0.363216115
0.56,0.363294658
0.57,0.363373288
0.58,0.363452045
0.59,0.363530888
0.6,0.363609857
0.61,0.363924731
0.62,0.364231265
0.63,0.364537885
0.64,0.364844629
0.65,0.365151457
0.66,0.365458408
0.67,0.365765443
0.68,0.3660726
0.69,0.36637984
0.7,0.366687202
0.71,0.366994645
0.72,0.36730221
0.73,0.367609876
0.74,0.367917623
0.75,0.368225489
0.76,0.368533436
0.77,0.368841502
0.78,0.369149647
0.79,0.369457911
0.8,0.369766273
0.81,0.370074714
0.82,0.370383252
0.83,0.370691908
0.84,0.37100064
0.85,0.371309489
0.86,0.371618415
0.87,0.371927456
0.88,0.372236593
0.89,0.372545806
0.9,0.372855133
0.91,0.375390548
0.92,0.382996793
0.93,0.401551015
0.94,0.427250092
0.95,0.452949168
0.96,0.478648245
0.97,0.504347322
0.98,0.530046399
0.99,0.555745476
1,0.581444553
1.01,0.60714363
1.02,0.632842707
1.03,0.658541784
1.04,0.684240861
1.05,0.709939938
1.06,0.706133282
1.07,0.702408823
1.08,0.698763456
1.09,0.695194482
1.1,0.691699201
1.11,0.688274819
1.12,0.684919144
1.13,0.681629587
1.14,0.678403959
1.15,0.675240177
1.16,0.671244458
1.17,0.667277622
1.18,0.663370392
1.19,0.659678094
1.2,0.656315234
1.21,0.653166542
1.22,0.650199786
1.23,0.647397398
1.24,0.644748037
1.25,0.642243347
1.26,0.639876629
1.27,0.637642391
1.28,0.635536276
1.29,0.633554749
1.3,0.631694528
1.31,0.629953288
1.32,0.628328276
1.33,0.626817568
1.34,0.625419121
1.35,0.624131444
1.36,0.622952873
1.37,0.621881856
1.38,0.620917329
1.39,0.620058112
1.4,0.619302991
1.41,0.618651017
1.42,0.618101191
1.43,0.617652864
1.44,0.617305228
1.45,0.617057512
1.46,0.616908982
1.47,0.616859131
1.48,0.616907483
1.49,0.617053283
1.5,0.617296303
1.51,0.617635933
1.52,0.618071883
1.53,0.618603782
1.54,0.619231171
1.55,0.619954011
1.56,0.620771673
1.57,0.621684242
1.58,0.622691315
1.59,0.623792699
1.6,0.624988213
1.61,0.626277884
1.62,0.627661248
1.63,0.62913855
1.64,0.630709342
1.65,0.632373784
1.66,0.634131843
1.67,0.635983291
1.68,0.637928208
1.69,0.639966479
1.7,0.642098294
1.71,0.644323449
1.72,0.646642043
1.73,0.649054182
1.74,0.651559875
1.75,0.654159235
1.76,0.656852179
1.77,0.659638829
1.78,0.662519409
1.79,0.665493846
1.8,0.668562373
1.81,0.671725123
1.82,0.674982133
1.83,0.676474306
1.84,0.672946984
1.85,0.669458902
1.86,0.666009307
1.87,0.662597289
1.88,0.659221846
1.89,0.655882292
1.9,0.652577701
1.91,0.649307343
1.92,0.646070312
1.93,0.642866046
1.94,0.639693789
1.95,0.636552792
1.96,0.633442347
1.97,0.630362053
1.98,0.627311134
1.99,0.624288808
2,0.621294752
2.01,0.618435788
2.02,0.615599048
2.03,0.612791293
2.04,0.610011716
2.05,0.607259886
2.06,0.604535233
2.07,0.60183747
2.08,0.599165927
2.09,0.596520231
2.1,0.593899862
2.11,0.591304267
2.12,0.588733315
2.13,0.586186303
2.14,0.583663025
2.15,0.581162867
2.16,0.57868574
2.17,0.576230973
2.18,0.573798395
2.19,0.571387728
2.2,0.568998225
2.21,0.566630023
2.22,0.564282478
2.23,0.561955358
2.24,0.559648431
2.25,0.557361377
2.26,0.555093666
2.27,0.55284528
2.28,0.550615927
2.29,0.548405199
2.3,0.546212879
2.31,0.544038703
2.32,0.541882462
2.33,0.539743786
2.34,0.53762249
2.35,0.535518342
2.36,0.53343122
2.37,0.531360654
2.38,0.529306572
2.39,0.527268816
2.4,0.525246989
2.41,0.52324101
2.42,0.521250682
2.43,0.519275702
2.44,0.51731598
2.45,0.515371341
2.46,0.513441405
2.47,0.511526186
2.48,0.509625435
2.49,0.507738965
2.5,0.505866623
2.51,0.504008231
2.52,0.502163546
2.53,0.500332508
2.54,0.49851499
2.55,0.496710692
2.56,0.494919523
2.57,0.493141412
2.58,0.491376096
2.59,0.489623501
2.6,0.487883339
2.61,0.486155719
2.62,0.484440376
2.63,0.482737101
2.64,0.481045898
2.65,0.479366496
2.66,0.477698793
2.67,0.476042786
2.68,0.474398251
2.69,0.472765181
2.7,0.471143243
2.71,0.469532464
2.72,0.467932716
2.73,0.466343895
2.74,0.464765798
2.75,0.463198443
2.76,0.461641609
2.77,0.460095319
2.78,0.458559263
2.79,0.457033544
2.8,0.455517967
2.81,0.454012468
2.82,0.452516923
2.83,0.45103128
2.84,0.449555327
2.85,0.448089085
2.86,0.446632383
2.87,0.445185175
2.88,0.443747372
2.89,0.442318867
2.9,0.440899607
2.91,0.439489475
2.92,0.43808838
2.93,0.436696267
2.94,0.435313034
2.95,0.433938601
2.96,0.432572896
2.97,0.431215831
2.98,0.429867337
2.99,0.428527326
3,0.427195729
3.01,0.425960563
3.02,0.42473274
3.03,0.423512226
3.04,0.422298954
3.05,0.421092871
3.06,0.419893885
3.07,0.418701969
3.08,0.417517063
3.09,0.416339093
3.1,0.415168018
3.11,0.414003757
3.12,0.412846278
3.13,0.411695512
3.14,0.410551415
3.15,0.409413933
3.16,0.408282966
3.17,0.40715854
3.18,0.406040561
3.19,0.404928971
3.2,0.403823731
3.21,0.402724794
3.22,0.401632103
3.23,0.400545604
3.24,0.399465257
3.25,0.398391008
3.26,0.39732284
3.27,0.396260641
3.28,0.395204432
3.29,0.394154123
3.3,0.393109689
3.31,0.392071081
3.32,0.391038243
3.33,0.390011145
3.34,0.388989738
3.35,0.387973988
3.36,0.386963832
3.37,0.385959241
3.38,0.384960179
3.39,0.383966578
3.4,0.382978423
3.41,0.381995675
3.42,0.381018284
3.43,0.380046204
3.44,0.379079412
3.45,0.378117838
3.46,0.377161483
3.47,0.376210286
3.48,0.375264206
3.49,0.37432322
3.5,0.373387273
3.51,0.372456345
3.52,0.371530377
3.53,0.37060936
3.54,0.369693237
3.55,0.368781992
3.56,0.367875563
3.57,0.366973933
3.58,0.366077077
3.59,0.365184929
3.6,0.364297486
3.61,0.363414686
3.62,0.362536516
3.63,0.36166294
3.64,0.360793915
3.65,0.359929411
3.66,0.359069406
3.67,0.358213864
3.68,0.357362742
3.69,0.356516012
3.7,0.355673642
3.71,0.354835606
3.72,0.354001884
3.73,0.353172411
3.74,0.352347191
3.75,0.351526176
3.76,0.350709333
3.77,0.349896635
3.78,0.349088072
3.79,0.348283583
3.8,0.347483171
3.81,0.346686776
3.82,0.345894388
3.83,0.34510596
3.84,0.344321476
3.85,0.34354092
3.86,0.342764252
3.87,0.341991439
3.88,0.341222448
3.89,0.340457255
3.9,0.339695843
3.91,0.3389382
3.92,0.338184261
3.93,0.337434035
3.94,0.336687444
3.95,0.335944521
3.96,0.335205208
3.97,0.334469489
3.98,0.333737316
3.99,0.333008692
4,0.332283576
4.01,0.331561946
4.02,0.330843789
4.03,0.330129036
4.04,0.329417719
4.05,0.328709791
4.06,0.328005212
4.07,0.327303956
4.08,0.326606022
4.09,0.325911377
4.1,0.325219978
4.11,0.324531838
4.12,0.323846896
4.13,0.323165157
4.14,0.322486575
4.15,0.321811145
4.16,0.321138816
4.17,0.320469609
4.18,0.319803463
4.19,0.319140358
4.2,0.318480285
4.21,0.317823212
4.22,0.317169112
4.23,0.316518003
4.24,0.315869806
4.25,0.315224521
4.26,0.31458213
4.27,0.313942602
4.28,0.313305929
4.29,0.31267208
4.3,0.312041037
4.31,0.311412762
4.32,0.310787273
4.33,0.310164504
4.34,0.309544442
4.35,0.308927093
4.36,0.308312397
4.37,0.307700383
4.38,0.307090994
4.39,0.306484191
4.4,0.305880007
4.41,0.30527839
4.42,0.304679315
4.43,0.304082753
4.44,0.303488726
4.45,0.302897173
4.46,0.30230808
4.47,0.301721445
4.48,0.301137231
4.49,0.300555443
4.5,0.299976012
4.51,0.299398967
4.52,0.298824255
4.53,0.298251884
4.54,0.297681829
4.55,0.29711405
4.56,0.296548542
4.57,0.295985277
4.58,0.295424256
4.59,0.294865444
4.6,0.29430883
4.61,0.293754369
4.62,0.293202076
4.63,0.292651922
4.64,0.292103888
4.65,0.291557939
4.66,0.291014068
4.67,0.290472258
4.68,0.289932499
4.69,0.289394768
4.7,0.288859027
4.71,0.28832528
4.72,0.28779351
4.73,0.28726369
4.74,0.28673578
4.75,0.286209807
4.76,0.285685718
4.77,0.285163529
4.78,0.284643178
4.79,0.284124667
4.8,0.283607991
4.81,0.283093132
4.82,0.282580056
4.83,0.282068745
4.84,0.281559183
4.85,0.281051374
4.86,0.280545283
4.87,0.280040902
4.88,0.279538185
4.89,0.279037131
4.9,0.278537746
4.91,0.278040008
4.92,0.277543845
4.93,0.277049316
4.94,0.276556363
4.95,0.276064987
4.96,0.275575139
4.97,0.275086826
4.98,0.274600036
4.99,0.27411475
5,0.27363094
5.01,0.273148589
5.02,0.272667691
5.03,0.272188236
5.04,0.2717102
5.05,0.271233545
5.06,0.270758287
5.07,0.270284391
5.08,0.269811851
5.09,0.269340657
5.1,0.268870748
5.11,0.268402165
5.12,0.267934873
5.13,0.267468845
5.14,0.267004082
5.15,0.266540539
5.16,0.266078231
5.17,0.265617123
5.18,0.265157219
5.19,0.264698476
5.2,0.264240902
5.21,0.263784469
